Date,Close
7/18/2010 0:00,0.09
7/19/2010 0:00,0.08
7/20/2010 0:00,0.07
7/21/2010 0:00,0.08
7/22/2010 0:00,0.05
7/23/2010 0:00,0.06
7/24/2010 0:00,0.05
7/25/2010 0:00,0.05
7/26/2010 0:00,0.06
7/27/2010 0:00,0.06
7/28/2010 0:00,0.06
7/29/2010 0:00,0.07
7/30/2010 0:00,0.06
7/31/2010 0:00,0.07
8/1/2010 0:00,0.06
8/2/2010 0:00,0.06
8/3/2010 0:00,0.06
8/4/2010 0:00,0.06
8/5/2010 0:00,0.06
8/6/2010 0:00,0.06
8/7/2010 0:00,0.06
8/8/2010 0:00,0.06
8/9/2010 0:00,0.07
8/10/2010 0:00,0.07
8/11/2010 0:00,0.07
8/12/2010 0:00,0.07
8/13/2010 0:00,0.06
8/14/2010 0:00,0.07
8/15/2010 0:00,0.07
8/16/2010 0:00,0.07
8/17/2010 0:00,0.07
8/18/2010 0:00,0.07
8/19/2010 0:00,0.07
8/20/2010 0:00,0.07
8/21/2010 0:00,0.07
8/22/2010 0:00,0.07
8/23/2010 0:00,0.06
8/24/2010 0:00,0.06
8/25/2010 0:00,0.06
8/26/2010 0:00,0.06
8/27/2010 0:00,0.06
8/28/2010 0:00,0.06
8/29/2010 0:00,0.06
8/30/2010 0:00,0.06
8/31/2010 0:00,0.06
9/1/2010 0:00,0.06
9/2/2010 0:00,0.06
9/3/2010 0:00,0.06
9/4/2010 0:00,0.06
9/5/2010 0:00,0.06
9/6/2010 0:00,0.06
9/7/2010 0:00,0.06
9/8/2010 0:00,0.06
9/9/2010 0:00,0.06
9/10/2010 0:00,0.06
9/11/2010 0:00,0.06
9/12/2010 0:00,0.06
9/13/2010 0:00,0.06
9/14/2010 0:00,0.06
9/15/2010 0:00,0.06
9/16/2010 0:00,0.06
9/17/2010 0:00,0.06
9/18/2010 0:00,0.06
9/19/2010 0:00,0.06
9/20/2010 0:00,0.06
9/21/2010 0:00,0.06
9/22/2010 0:00,0.06
9/23/2010 0:00,0.06
9/24/2010 0:00,0.06
9/25/2010 0:00,0.06
9/26/2010 0:00,0.06
9/27/2010 0:00,0.06
9/28/2010 0:00,0.06
9/29/2010 0:00,0.06
9/30/2010 0:00,0.06
10/1/2010 0:00,0.06
10/2/2010 0:00,0.06
10/3/2010 0:00,0.06
10/4/2010 0:00,0.06
10/5/2010 0:00,0.06
10/6/2010 0:00,0.06
10/7/2010 0:00,0.07
10/8/2010 0:00,0.09
10/9/2010 0:00,0.09
10/10/2010 0:00,0.1
10/11/2010 0:00,0.09
10/12/2010 0:00,0.09
10/13/2010 0:00,0.1
10/14/2010 0:00,0.1
10/15/2010 0:00,0.1
10/16/2010 0:00,0.1
10/17/2010 0:00,0.1
10/18/2010 0:00,0.1
10/19/2010 0:00,0.1
10/20/2010 0:00,0.1
10/21/2010 0:00,0.11
10/22/2010 0:00,0.1
10/23/2010 0:00,0.11
10/24/2010 0:00,0.11
10/25/2010 0:00,0.13
10/26/2010 0:00,0.15
10/27/2010 0:00,0.19
10/28/2010 0:00,0.17
10/29/2010 0:00,0.19
10/30/2010 0:00,0.2
10/31/2010 0:00,0.19
11/1/2010 0:00,0.2
11/2/2010 0:00,0.19
11/3/2010 0:00,0.19
11/4/2010 0:00,0.23
11/5/2010 0:00,0.26
11/6/2010 0:00,0.39
11/7/2010 0:00,0.34
11/8/2010 0:00,0.24
11/9/2010 0:00,0.21
11/10/2010 0:00,0.24
